Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3.0,15.04
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14.0,21.06
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28.0,26.4
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56.0,35.34
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100.0,40.57
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3.0,12.47
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14.0,20.92
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28.0,24.9
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56.0,34.2
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100.0,39.61
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3.0,10.03
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14.0,20.08
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28.0,24.48
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56.0,31.54
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100.0,35.34
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3.0,9.45
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14.0,22.72
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28.0,28.47
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56.0,38.56
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100.0,40.39
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3.0,10.76
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14.0,25.48
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28.0,21.54
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56.0,28.63
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100.0,33.54
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3.0,7.75
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14.0,17.82
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28.0,24.24
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56.0,32.85
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100.0,39.23
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3.0,18.0
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14.0,30.39
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28.0,45.71
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56.0,50.77
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100.0,53.9
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3.0,13.18
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14.0,17.84
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28.0,40.23
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,56.0,47.13
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100.0,49.97
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3.0,13.36
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14.0,22.32
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28.0,24.54
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56.0,31.35
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100.0,40.86
238.1,0.0,94.1,186.7,7.0,949.9,847.0,3.0,19.93
238.1,0.0,94.1,186.7,7.0,949.9,847.0,14.0,25.69
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28.0,30.23
238.1,0.0,94.1,186.7,7.0,949.9,847.0,56.0,39.59
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100.0,44.3
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3.0,13.82
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14.0,24.92
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28.0,29.22
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56.0,38.33
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100.0,42.35
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3.0,13.54
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14.0,26.31
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28.0,31.64
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56.0,42.55
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100.0,42.92
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3.0,13.33
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14.0,25.37
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28.0,37.4
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,56.0,44.4
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,100.0,47.74
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3.0,19.52
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14.0,31.35
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,28.0,38.5
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56.0,45.08
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,100.0,47.82
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3.0,15.44
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14.0,26.77
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28.0,33.73
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56.0,42.7
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100.0,45.84
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3.0,17.22
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14.0,29.93
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28.0,29.65
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56.0,36.97
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100.0,43.58
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3.0,13.12
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,14.0,24.43
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28.0,32.66
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56.0,36.64
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,100.0,44.21
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3.0,13.62
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14.0,21.6
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28.0,27.77
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,56.0,35.57
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100.0,45.37
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3.0,7.32
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14.0,21.5
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28.0,31.27
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,56.0,43.5
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100.0,48.67
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3.0,7.4
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14.0,23.51
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28.0,31.12
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56.0,39.15
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100.0,48.15
290.4,0.0,96.2,168.1,9.4,961.2,865.0,3.0,22.5
290.4,0.0,96.2,168.1,9.4,961.2,865.0,14.0,34.67
290.4,0.0,96.2,168.1,9.4,961.2,865.0,28.0,34.74
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56.0,45.08
290.4,0.0,96.2,168.1,9.4,961.2,865.0,100.0,48.97
277.1,0.0,97.4,160.6,11.8,973.9,875.6,3.0,23.14
277.1,0.0,97.4,160.6,11.8,973.9,875.6,14.0,41.89
277.1,0.0,97.4,160.6,11.8,973.9,875.6,28.0,48.28
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56.0,51.04
277.1,0.0,97.4,160.6,11.8,973.9,875.6,100.0,55.64
295.7,0.0,95.6,171.5,8.9,955.1,859.2,3.0,22.95
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14.0,35.23
295.7,0.0,95.6,171.5,8.9,955.1,859.2,28.0,39.94
295.7,0.0,95.6,171.5,8.9,955.1,859.2,56.0,48.72
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100.0,52.04
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3.0,21.02
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14.0,33.36
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,28.0,33.94
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56.0,44.14
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,100.0,45.37
249.1,0.0,98.8,158.1,12.8,987.8,889.0,3.0,15.36
249.1,0.0,98.8,158.1,12.8,987.8,889.0,14.0,28.68
249.1,0.0,98.8,158.1,12.8,987.8,889.0,28.0,30.85
249.1,0.0,98.8,158.1,12.8,987.8,889.0,56.0,42.03
249.1,0.0,98.8,158.1,12.8,987.8,889.0,100.0,51.06
252.3,0.0,98.8,146.3,14.2,987.8,889.0,3.0,21.78
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14.0,42.29
252.3,0.0,98.8,146.3,14.2,987.8,889.0,28.0,50.6
252.3,0.0,98.8,146.3,14.2,987.8,889.0,56.0,55.83
252.3,0.0,98.8,146.3,14.2,987.8,889.0,100.0,60.95
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3.0,23.52
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14.0,42.22
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28.0,52.5
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56.0,60.32
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100.0,66.42
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3.0,23.8
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14.0,38.77
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,28.0,51.33
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,56.0,56.85
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,100.0,58.61
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,3.0,21.91
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14.0,36.99
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28.0,47.4
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,56.0,51.96
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,100.0,56.74
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3.0,17.57
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,14.0,33.73
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28.0,40.15
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,56.0,46.64
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,100.0,50.08
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3.0,17.37
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14.0,33.7
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28.0,45.94
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,56.0,51.43
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,100.0,59.3
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3.0,30.45
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14.0,47.71
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28.0,63.14
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56.0,66.82
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100.0,66.95
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3.0,27.42
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14.0,35.96
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28.0,55.51
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56.0,61.99
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100.0,63.53
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3.0,18.02
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14.0,38.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28.0,52.2
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56.0,53.96
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100.0,56.63
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,3.0,15.34
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,14.0,26.05
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28.0,30.22
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56.0,37.27
